;lat;lon;name_ru;opening_hours;website;star
0;55.605121;37.3538469;Московский дворик;;;1
1;55.9091691;37.866109;Кружка;;;1
2;55.8649133;37.6055916;Кружка;;http://www.kruzhka.ru/;1
3;55.7592693;37.5800979;Кружка;;http://www.kruzhka.ru/;1
4;55.6595234;37.7523825;Кружка;"Mo-Fr 12:00-00:00; Sa-Su 12:00-04:00";http://www.kruzhka.ru/;1
5;55.7052;37.68883;Кружка;;http://www.kruzhka.ru/;1
6;55.6302;37.5150501;Кружка;;http://www.kruzhka.ru/;1
7;55.6512308;37.7445151;Кружка;;http://www.kruzhka.ru/;1
8;55.6705186;37.5561369;Кружка;;http://www.kruzhka.ru/;1
9;55.73075;37.6635;Кружка;;http://www.kruzhka.ru/;1
10;55.63945;37.6064;Кружка;;http://www.kruzhka.ru/;1
11;55.765603;37.638956;Кружка;"Mo-Su 12:00-24:00; Fr,Sa 12:00-04:00";http://www.kruzhka.ru;1
12;55.5684036;37.5646238;Грин-клуб;;;1
13;55.6122075;37.7212993;Чешска пивница;;;1
14;55.6729967;37.6646315;Шпилька;;;1
15;55.7262734;37.4171008;;;;1
16;55.8688272;37.6629616;Подвальчик;12:00-02:00;;1
17;55.6728806;37.6646143;Пена;;;1
18;55.8647502;37.6612355;Империал;;;1
19;55.8599013;37.6590427;Бирлайн;;;1
20;55.866905;37.6825864;Погребок;;;1
21;55.7106791;37.7311721;ДискоБар;;;1
22;55.8189999;37.6490151;ШтирБирЛиц;"Mo-Su 12:00-24:00; Th-Sa 12:00-03:00";http://shtirbeer.ru;1
23;55.8698139;37.6764585;Старая карта;;;1
24;55.8696788;37.6770095;Тройка;;;1
25;55.6314274;37.5188668;Чёрная каракатица;;;1
26;55.6261314;37.7497335;;;;1
27;55.6144522;37.7434545;;;;1
28;55.7399994;37.6638934;Колбасофф;"Mo-Fr 12:00-24:00; Sa,Su 00:00-02:00,12:00-24:00";;1
29;55.7679243;37.6292201;Dagda;;https://vk.com/dagda_pub;1
30;55.7972707;37.5845376;Ampere;;http://ampere.pub;1
31;55.6336906;37.6137677;;;;1
32;55.7964166;37.8005949;Панчо и Санчо;;;1
33;55.792746;37.5925363;Золотая вобла;;;1
34;55.7934908;37.8039821;Бочка;;;1
35;55.7724813;37.6813702;Mистер Beer'kin;;;1
36;55.6864974;37.5470291;Линдерхоф;;http://www.linderhof.ru;1
37;55.7715283;37.6815004;Пьяный Дятел;Mo-Su 11:00-23:30;;1
38;55.6420089;37.5245483;Дорф;"Su-Th 12:00-00:00; Fr-Sa 12:00-02:00";restorandorf.ru;1
39;55.6420954;37.5239009;Дранкен Дак Паб;;;1
40;55.7834298;37.7212932;Кружка;;http://www.kruzhka.ru/;1
41;55.7411956;37.6283732;Молли Гвинн'з;;http://www.rmcom.ru/page-molly-gwynns;1
42;55.8986035;37.5912853;Кружка;Mo-Su 12:00-24:00;http://www.kruzhka.ru/;1
43;55.7629963;37.5880578;Барракуда;;;1
44;55.7554915;37.6005258;Джон Донн;;http://www.john-donne.ru;1
45;55.7719238;37.636532;Boondock;"Mo-Fr 00:00-00:30,12:00-24:00; Sa 00:00-03:00,15:00-24:00; Su 00:00-00:30,15:00-24:00";http://www.boondockpub.ru;1
46;55.7583364;37.6398196;Золотая Вобла;24/7;http://vobla.ru;1
47;55.7653128;37.6309216;Лига Пап;24/7;http://www.ligapap.ru;1
48;55.8270766;37.4473841;Пивной клуб Крокодил;;;1
49;55.70882;37.4057694;Гертруда;Mo-Su 11:00-03:00;;1
50;55.747706;37.588259;Плотников паб;;http://www.plotnikov-pub.ru/;1
51;55.7819087;37.5815353;Прогноз погоды;;;1
52;55.8156723;37.6394595;Бирхаус;12:00-23:00;;1
53;55.8447635;37.3504301;Bastards;;;1
54;55.8864751;37.6594404;Bar Bear;;;1
55;55.897567;37.6049697;Дом пива;;http://www.dom-piva.ru/;1
56;55.8992322;37.5859204;"Разливное пиво ""Лит.Ра""";;http://www.litra-beer.ru/;1
57;55.7675763;37.6351529;Bobby Dazzler;"Mo-Th 11:00-24:00; Fr 11:00-03:00; Sa 13:00-06:00; Su 13:00-24:00";http://www.bobbydazzler.ru;1
58;55.7625156;37.634405;Mollie's Pub;"Mo,Su 12:00-24:00; Tu-Th 00:00-01:00,12:00-24:00; Fr,Sa 00:00-03:00,12:00-24:00";http://www.molliespub.ru;1
59;55.7445693;37.6273469;Панч и Джуди;"Mo-Su 12:00-24:00; Fr,Sa 12:00-06:00";http://pjpub.ru;1
60;55.8031081;37.5127597;Кружка;;http://www.kruzhka.ru/;1
61;55.781581;37.7078462;СПБ;;;1
62;55.6535401;37.620576;Carlsberg;;;1
63;55.7847828;37.4561101;Старое место;;;1
64;55.8028512;37.5253347;Черчилль;Mo-Su 12:00-23:00;http://www.churchillspub.ru;1
65;55.8435862;37.3639331;Кружка;"Mo-Fr 12:00-24:00; Sa,Su 00:00-04:00,12:00-24:00";http://www.kruzhka.ru;1
66;55.7969048;37.4920204;;;;1
67;55.6560637;37.5978993;Ниагара;;http://www.niagara-club.ru/;1
68;55.7939111;37.4948841;Интерпаб;"Mo-We 12:00-24:00; Fr-Sa 12:00-24:05; Su 12:00-24:00";http://www.interpab.ru;1
69;55.646632;37.7459974;Аладдин;;;1
70;55.7452543;37.6307187;Белфаст;"Mo-Th 12:00-24:00; Fr 12:00-03:00; Sa,Su 14:00-24:00";http://www.belfast-pub.ru;1
71;55.8496787;37.4223558;BierЛога;;;1
72;55.7436282;37.6302444;Гроссбир;Mo-Su 08:30-24:00;http://www.grossbeer.ru/;1
73;55.73848;37.659736;5 океан;;http://www.fifth-ocean.ru;1
74;55.7616265;37.6405117;Union Jack;Mo-Su 12:00-00:00;http://unionj.su;1
75;55.7417911;37.6164952;Sally O'Brien's;;;1
76;55.7350491;37.5857587;Джон Донн;;http://www.john-donne.ru;1
77;55.8879472;37.5895725;Сварня;;;1
78;55.7502596;37.5936091;Doolin House;;http://doolin-house.ru;1
79;55.7486975;37.5885149;Эрик Рыжий;"Mo-Fr 08:00-24:00; Sa,Su 00:00-02:00,08:00-24:00";http://ericthered.ru;1
80;55.642377;37.5243649;Кружка;;http://www.kruzhka.ru;1
81;55.6186478;37.7145526;Интер;Mo-Su 12:00-24:00;;1
82;55.680897;37.5566997;Конор Мак Несса;;http://www.conor-pub.ru/;1
83;55.7423983;37.6523054;Кружка;;http://www.kruzhka.ru;1
84;55.773109;37.6326163;SПБ;;;1
85;55.8634546;37.6028336;Сварня;;;1
86;55.8160836;37.7353462;Спортбар;;;1
87;55.770398;37.634213;Мохнатый шмель;;http://www.barshmel.ru;1
88;55.891599;37.6226614;Заря;;;1
89;55.8581562;37.5929519;Пентагон;;;1
90;55.805485;37.6354963;Джонни Грин Паб;;;1
91;55.7483155;37.5833995;Джон Булл;;http://rmcom.ru/page-john-bull;1
92;55.8473323;37.4389208;69 Pints;;;1
93;55.823677;37.6348558;Вилладж-Паб;"Mo-Su 11:30-24:00; Fr-Sa 11:30-02:00";http://www.village-pub.ru;1
94;55.7422148;37.6556872;Лондон Гриль;Mo-Su 12:00-00:00;http://www.londongrill.ru;1
95;55.7288978;37.6175784;Молли Гвинн'з;;http://www.rmcom.ru/page-molly-gwynns;1
96;55.7670369;37.6317192;Козловица;Mo-Su 12:00-22:00;http://www.kozlovica.ru/;1
97;55.7653031;37.6216926;Union Jack;Mo-Su 11:00-23:00;http://unionj.su;1
98;55.7388274;37.6592047;Золотая Вобла;24/7;;1
99;55.7890011;37.6102076;Локо;;;1
100;55.7745915;37.6423753;На брудершафт;;;1
101;55.7944316;37.705914;Лок Сток;Mo-Su 12:00-23:00;http://локсток.рф;1
102;55.7759902;37.6614549;Глобус Боулинг Центр;Mo-Su 12:00-05:00;;1
103;55.8044972;37.6379392;Beerлога;;;1
104;55.7687629;37.613221;Scotland Yard;"Mo,Su 12:00-24:00; Tu-Th 12:00-01:00; Fr,Sa 12:00-03:00";http://www.scotlandyardpub.ru;1
105;55.7859636;37.5954315;Мосдонер;24/7;;1
106;55.88526;37.6056083;Кладовая солнца;;;1
107;55.7691323;37.6693;Molly Malone's;"Mo-Th 12:00-00:30; Fr 12:00-02:00; Sa-Su 15:00-00:30";http://www.mollymalones-pub.ru/;1
108;55.7667471;37.634181;I like craft;"Mo-Fr 11:00-24:00; Sa,Su 00:00-01:00,11:00-24:00";;1
109;55.8859347;37.6845411;Шаровня;;;1
110;55.6625747;37.7601278;Ёрш;;;1
111;55.75816;37.6363066;Union Jack;;http://unionj.su;1
112;55.7565047;37.6271495;The Oldschool pub;;;1
113;55.752623;37.6679617;Edward's Pub;"Mo-We 10:00-22:00; Th-Su 10:00-06:00";https://www.facebook.com/edwardspub;1
114;55.7599566;37.6315631;Dark Patrick's;;http://dp-pub.ru;1
115;55.6546648;37.5392117;SПБ;"Mo-Su 12:00-24:00; Fr,Sa 12:00-05:00";http://barspb.ru;1
116;55.6749982;37.5053823;;;;1
117;55.8895112;37.5969036;Ёрш;24/7;;1
